"num_echantillon,""date_capture"",""valeur_Rssi"""
"1,""2025-01-07 13:22:02"",""-31"""
"2,""2024-12-20 10:51:07"",""-32"""
"3,""2024-12-20 10:51:24"",""-33"""
"4,""2024-12-20 10:51:40"",""-36"""
"5,""2024-12-20 10:51:53"",""-43"""
"6,""2024-12-20 10:51:56"",""-45"""
"7,""2024-12-20 10:52:13"",""-46"""
"8,""2024-12-20 10:52:14"",""-47"""
"9,""2024-12-20 10:52:16"",""-48"""
"10,""2024-12-20 10:55:00"",""-51"""
"11,""2024-12-20 10:55:08"",""-52"""
"12,""2024-12-20 10:55:09"",""-53"""
"13,""2024-12-20 10:55:11"",""-54"""
"14,""2024-12-20 10:55:13"",""-55"""
"15,""2024-12-20 10:55:22"",""-56"""
"16,""2024-12-20 10:55:23"",""-57"""
"17,""2024-12-20 10:55:25"",""-58"""
"18,""2024-12-20 10:55:31"",""-59"""
"19,""2024-12-20 10:55:33"",""-60"""
"20,""2024-12-20 10:55:45"",""-61"""
"21,""2024-12-20 10:55:47"",""-62"""
"22,""2024-12-20 10:55:49"",""-63"""
"23,""2024-12-20 10:55:53"",""-64"""
